DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Charter,Arrival,Domestic,57
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Charter,Arrival,International,299
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Charter,Departure,Domestic,62
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Charter,Departure,International,5
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,5996
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Commuter,Arrival,International,31
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Commuter,Departure,Domestic,5995
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Commuter,Departure,International,31
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,13695
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Scheduled,Arrival,International,4026
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,13666
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Scheduled,Departure,International,4085
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Charter,Arrival,Domestic,22
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Charter,Arrival,International,101
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Charter,Departure,Domestic,21
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Charter,Departure,International,100
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,5525
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Commuter,Arrival,International,28
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Commuter,Departure,Domestic,5525
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Commuter,Departure,International,28
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,12308
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Scheduled,Arrival,International,3381
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,12322
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Scheduled,Departure,International,3398
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Charter,Arrival,Domestic,51
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Charter,Arrival,International,4
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Charter,Departure,Domestic,47
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Charter,Departure,International,5
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,6217
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Commuter,Arrival,International,31
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Commuter,Departure,Domestic,6216
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Commuter,Departure,International,30
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,13925
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Scheduled,Arrival,International,3952
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,13963
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Scheduled,Departure,International,3961
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Charter,Arrival,Domestic,57
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Charter,Arrival,International,2
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Charter,Departure,Domestic,52
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,5885
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Commuter,Arrival,International,31
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Commuter,Departure,Domestic,5886
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Commuter,Departure,International,31
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,13420
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Scheduled,Arrival,International,3884
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,13461
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Scheduled,Departure,International,3897
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Charter,Arrival,Domestic,26
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Charter,Arrival,International,5
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Charter,Departure,Domestic,24
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Charter,Departure,International,3
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,6089
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Commuter,Arrival,International,41
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Commuter,Departure,Domestic,6089
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Commuter,Departure,International,41
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,14126
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Scheduled,Arrival,International,3968
